@relation dataset-weka.filters.unsupervised.attribute.AddValues-C11-L4

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute myo1-1 numeric
@attribute myo1-2 numeric
@attribute myo1-3 numeric
@attribute myo1-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 {0,1,2,3,4}

@data
257,'2018/02/22 13:02:33:047',3,0.212773,0.521325,0.624025,0,?,?,?,?
258,'2018/02/22 13:02:33:047',3,0.212773,0.521325,0.624025,0,?,?,?,?
259,'2018/02/22 13:02:33:056',3,0.21276,0.521336,0.624121,0,?,?,?,?
260,'2018/02/22 13:02:33:081',3,0.21276,0.521336,0.624121,0,?,?,?,?
261,'2018/02/22 13:02:33:222',3,0.212753,0.521327,0.624045,0,?,?,?,?
262,'2018/02/22 13:02:33:222',3,0.21276,0.521343,0.623929,0,?,?,?,?
263,'2018/02/22 13:02:33:222',3,0.21276,0.521343,0.623929,0,?,?,?,?
264,'2018/02/22 13:02:33:222',3,0.212734,0.521307,0.624048,0,?,?,?,?
265,'2018/02/22 13:02:33:222',3,0.212713,0.521316,0.624048,0,?,?,?,?
266,'2018/02/22 13:02:33:236',3,0.212713,0.521316,0.624048,0,?,?,?,?
267,'2018/02/22 13:02:33:263',3,0.21274,0.521302,0.624086,0,?,?,?,?
268,'2018/02/22 13:02:33:321',3,0.212764,0.521319,0.624141,0,?,?,?,?
269,'2018/02/22 13:02:33:322',3,0.212805,0.521334,0.6241,0,?,?,?,?
270,'2018/02/22 13:02:33:387',3,0.21282,0.521353,0.624079,0,?,?,?,?
271,'2018/02/22 13:02:33:387',3,0.212862,0.521354,0.624249,0,?,?,?,?
272,'2018/02/22 13:02:33:390',3,0.212862,0.521354,0.624249,0,?,?,?,?
273,'2018/02/22 13:02:33:416',3,0.212879,0.521362,0.624228,0,?,?,?,?
274,'2018/02/22 13:02:33:562',3,0.212849,0.521322,0.624309,0,?,?,?,?
275,'2018/02/22 13:02:33:562',3,0.212848,0.521209,0.624182,0,?,?,?,?
276,'2018/02/22 13:02:33:562',3,0.212858,0.521214,0.624066,0,?,?,?,?
277,'2018/02/22 13:02:33:562',3,0.212828,0.521196,0.624165,0,?,?,?,?
278,'2018/02/22 13:02:33:562',3,0.212828,0.521196,0.624165,0,?,?,?,?
279,'2018/02/22 13:02:33:570',3,0.212845,0.521167,0.624089,0,?,?,?,?
280,'2018/02/22 13:02:33:595',3,0.212845,0.521167,0.624089,0,?,?,?,?
281,'2018/02/22 13:02:33:736',3,0.212845,0.521167,0.624089,0,?,?,?,?
282,'2018/02/22 13:02:33:737',3,0.212858,0.521178,0.624011,0,?,?,?,?
283,'2018/02/22 13:02:33:737',3,0.212858,0.521178,0.624011,0,?,?,?,?
284,'2018/02/22 13:02:33:738',3,0.212858,0.521178,0.624011,0,?,?,?,?
285,'2018/02/22 13:02:33:739',3,0.212842,0.521205,0.623914,0,?,?,?,?
286,'2018/02/22 13:02:33:750',3,0.212778,0.521176,0.623689,0,?,?,?,?
287,'2018/02/22 13:02:33:775',3,0.212795,0.521169,0.623632,0,?,?,?,?
